participantNo,inputType,trialNo,triad,msg,spagCorrect,correctMsg,gMsg
1,Keyboard,1,"swings.png,money.png,momandbaby.png",The woman bought a swing set for her baby.,The woman bought a swing set for her baby.,The woman bought a swing set for her baby.,The woman bought a swing set for her baby.
1,Keyboard,2,"house.png,Friends.png,mug.png",The three friends stayed home to drink coffee.,The three friends stayed home to drink coffee.,The three friends stayed home to drink coffee.,The three friends stayed home to drink coffee.
1,Keyboard,3,"bicycle.png,youngman.png,santa.png",The boy asked Santa for a bicycle for Christmas.,The boy asked Santa for a bicycle for Christmas.,The boy asked Santa for a bicycle for Christmas.,The boy asked Santa for a bicycle for Christmas.
1,Keyboard,4,"baby.png,iPhone4.png,man.png",The man took a picture of a baby using his phone.,The man took a picture of a baby using his phone.,The man took a picture of a baby using his phone.,The man took a picture of a baby using his phone.
1,Keyboard,5,"boy.png,Friends.png,present.png",Three people brought presents to the boy's party.,Three people brought presents to the boy's party.,Three people brought presents to the boy's party.,Three people brought presents to the boy's party.
1,Keyboard,6,"soccer.png,youngman.png,heart.png",The man loves playing soccer.,The man loves playing soccer.,The man loves playing soccer.,The man loves playing soccer.
1,Keyboard,7,"brocoli.png,hotdog.png,woman.png",The woman does not like broccoli on her hot dogs.,The woman does not like broccoli on her hot dogs.,The woman does not like broccoli on her hot dogs.,The woman does not like broccoli on her hot dogs.
1,Keyboard,8,"woman.png,momandbaby.png,plane.png",The woman sat next to a girl on the plane.,The woman sat next to a girl on the plane.,The woman sat next to a girl on the plane.,The woman sat next to a girl on the plane.
1,Keyboard,9,"doctor.png,plane.png,boy.png","During the flight, the doctor rushed to help the boy.","During the flight, the doctor rushed to help the boy.","During the flight, the doctor rushed to help the boy.","During the flight, the doctor rushed to help the boy."
1,Keyboard,10,"sun.png,house.png,baby.png",The baby enjoyed playing in the sun at home.,The baby enjoyed playing in the sun at home.,The baby enjoyed playing in the sun at home.,The baby enjoyed playing in the sun at home.
1,Keyboard,11,"crying.png,youngman.png,santa.png",The boy cried when he realized that his brother was dressed as Santa.,The boy cried when he realized that his brother was dressed as Santa.,The boy cried when he realized that his brother was dressed as Santa.,The boy cried when he realized that his brother was dressed as Santa.
1,Keyboard,12,"apple.png,doctor.png,house.png",The doctor had many apples in his house.,The doctor had many apples in his house.,The doctor had many apples in his house.,The doctor had many apples in his house.
1,Keyboard,13,"grandma.png,heart.png,teddybear.png",The old woman loved the stuffed bear that her grandkids got her.,The old woman loved the stuffed bear that her grandkids got her.,The old woman loved the stuffed bear that her grandkids got her.,The old woman loved the stuffed bear that her grandkids got her.
1,Keyboard,14,"turtle.png,cooking-pan.png,youngman.png",The boy decided not to fry a turtle for supper.,The boy decided not to fry a turtle for supper.,The boy decided not to fry a turtle for supper.,The boy decided not to fry a turtle for supper.
1,Keyboard,15,"swings.png,crying.png,raincloud.png",The boy was sad because he could not play on the swing in the rain.,The boy was sad because he could not play on the swing in the rain.,The boy was sad because he could not play on the swing in the rain.,The boy was sad because he could not play on the swing in the rain.
1,Keyboard,16,"teddybear.png,money.png,Friends.png",The friends decided to buy a stuffed animal.,The friends decided to buy a stuffed animal.,The friends decided to buy a stuffed animal.,The friends decided to buy a stuffed animal.
1,Keyboard,17,"boy.png,boat.png,cat.png",The boy chased his cat all around the boat. ,The boy chased his cat all around the boat. ,The boy chased his cat all around the boat. ,The boy chased his cat all around the boat. 
