participantNo,inputType,trialNo,inputTime,prepTime,msg,orgMsg,msgLen,wpm,incorrect_fixed,fixes,taskType,setNum,totalTime,entryTime,corrTime,acCount,inf,correct,uncorrected_error_rate,corrected_error_rate,bandwidth
5,Keyboard,1,5446,980,The young man loves to play soccer ,"The young man loves to play soccer
",35,74.9173705471906,0,0,Transcription,C2,6856,5876,0,0,0,34,0.0,0.0,1.0
5,Keyboard,2,15852,905,The teenagers gave a gift to their little brother Bobby,"The teenagers gave a gift to their little brother Bobby
",55,40.878122634367905,16,16,Transcription,C1,17963,17058,3687,0,0,55,0.0,0.22535211267605634,0.632183908045977
5,Keyboard,3,11461,1324,The man took the pictures of the baby using his phone,"The man took the pictures of the baby using his phone
",53,54.445510862926454,13,4,Transcription,C2,13291,11967,2014,1,0,53,0.0,0.22807017543859648,0.7571428571428571
5,Keyboard,4,11699,1200,The teacher and her little daughters entered the airplane,"The teacher and her little daughters entered the airplane
",57,57.440806906573215,4,4,Transcription,C1,13292,12092,1083,0,0,57,0.0,0.06557377049180328,0.8769230769230769
5,Keyboard,5,12260,955,The friends met at home over a cup of coffee,"The friends met at home over a cup of coffee
",44,42.08809135399674,17,13,Transcription,C2,13497,12542,3341,4,0,44,0.0,0.2982456140350877,0.5945945945945946
5,Keyboard,6,6140,1241,The little boy and his brother met Santa,"The little boy and his brother met Santa
",40,76.22149837133551,0,0,Transcription,C2,7880,6639,0,0,0,40,0.0,0.0,1.0
5,Keyboard,7,16548,1327,The flight attendant waved goodbye to the other when she boarded the flight,"The flight attendant waved goodbye to the mother when she boarded the flight
",75,53.66207396664251,22,7,Transcription,C2,18173,16846,3250,3,1,74,0.012195121951219513,0.2682926829268293,0.7115384615384616
5,Keyboard,8,6191,972,Santa gifted a cycle to the young man ,"Santa gifted a cycle to the young man
",38,71.7170085608141,0,0,Transcription,C2,7749,6777,0,0,0,37,0.0,0.0,1.0
5,Keyboard,9,12664,749,The doctor advised the little boy to not travel in aeroplanes,"The doctor advised the little boy to not travel in aeroplanes
",61,56.854074542008846,16,9,Transcription,C2,13863,13114,2825,1,0,61,0.0,0.22857142857142856,0.7093023255813954
5,Keyboard,10,19686,921,"It is true that in some countries, sea turtle meat is fried in pans and served to young men","It is true that in some countries, sea turtle meat is fried in pans and served to young men
",91,54.861322767448954,13,7,Transcription,C2,21047,20126,2546,2,0,91,0.0,0.1326530612244898,0.8198198198198198
5,Keyboard,11,18297,1146,"Sally puts broccoli on her hotdog, she loves vegetables","Sally puts broccoli on her hotdog, she loves vegetables
",55,35.41564190850959,16,11,Transcription,C1,20010,18864,5758,1,0,55,0.0,0.24242424242424243,0.6707317073170732
5,Keyboard,12,14411,1050,The child cried because a man told him Santa wasn't real,"The child cried because a man told him Santa wasn't real
",56,45.7983484837971,14,10,Transcription,C1,15898,14848,3383,1,0,56,0.0,0.21212121212121213,0.7
5,Keyboard,13,15164,1001,The teenagers went to Bruce's house to drink a cup of tea,"The teenagers went to Bruce's house to drink a cup of tea
",57,44.3154840411501,17,12,Transcription,C1,16579,15578,3580,1,0,57,0.0,0.2463768115942029,0.6627906976744186
5,Keyboard,14,10814,935,The siblings spent all their money on a giant teddy bear,"The siblings spent all their money on a giant teddy bear
",56,61.03199556130942,5,1,Transcription,C1,12218,11283,406,1,0,56,0.0,0.08771929824561403,0.9032258064516129
5,Keyboard,15,17859,747,The mother and the dog could not understand the reason behind the boy's tears,"The mother and the dog could not understand the reason behind the boy's tears
",77,51.06668906433731,21,11,Transcription,C2,19328,18581,4267,4,0,77,0.0,0.23863636363636365,0.7064220183486238
5,Keyboard,16,15975,850,The dog hypnotizes the girl into thinking the boy is sad,"The dog hypnotizes the girl into thinking the boy is sad
",56,41.314553990610335,20,11,Transcription,C1,17342,16492,2872,2,0,56,0.0,0.29850746268656714,0.6436781609195402
5,Keyboard,17,11495,804,The baby loves being in the house when the sun is shining,"The baby loves being in the house when the sun is shining
",57,58.46020008699435,18,4,Transcription,C1,13097,12294,1929,2,0,57,0.0,0.29508196721311475,0.7215189873417721
5,Keyboard,18,14027,900,The doctor prefers having green apples at home,"The doctor prefers having green apples at home
",46,38.49718400228132,13,9,Transcription,C2,15507,14607,3334,1,0,46,0.0,0.23636363636363636,0.6764705882352942
5,Keyboard,19,14187,818,The girl was confused when she saw a dog and a crying botly,"The girl was confused when she saw a dog and a crying boy
",59,49.05899767392684,17,10,Transcription,C1,15323,14505,2585,2,2,55,0.029850746268656716,0.2537313432835821,0.6547619047619048
5,Keyboard,20,13018,1001,A group of friends won a teddy bear in an amusement park,"A group of friends won a teddy bear in an amusement park
",56,50.69903210938701,15,10,Transcription,C1,14653,13652,2455,4,0,56,0.0,0.22727272727272727,0.691358024691358
5,Speech,1,3699,5898,The man was torn between his love and his love for soccer,"The man was torn between his love and his love for soccer
",57,181.6707218167072,47,1,Transcription,D1,14482,8584,876,0,0,57,0.0,0.8103448275862069,0.5428571428571428
5,Speech,2,3186,3455,The teacher said that broccoli and sausages don't go well together,"The teacher said that broccoli and sausages don't go well together
",66,244.82109227871945,0,0,Transcription,D2,8470,5015,0,0,0,66,0.0,0.0,1.0
5,Speech,3,50535,3914,The doctor on the airplane gave the little boy a lolly pop,"The doctor on the airplane gave the little boy a lolly pop
",58,13.53517364203028,26,26,Transcription,D1,57187,53273,42225,0,0,58,0.0,0.30952380952380953,0.5272727272727272
5,Speech,4,6343,905,The woman found money on the ground next to the swing set,"The woman found money on the ground next to the swing set
",57,105.94355982973357,0,0,Transcription,D1,9925,9020,0,0,0,57,0.0,0.0,1.0
5,Speech,5,2643,3149,A teddy bear cost too much money for the teenagers to buy,"A teddy bear cost too much money for the teenagers to buy
",57,254.2565266742339,0,0,Transcription,D1,7062,3913,0,0,0,57,0.0,0.0,1.0
5,Speech,6,7027,3012,The mother could not afford to take her baby to the park,"The mother could not afford to take her baby to the park
",56,93.92343816706988,5,5,Transcription,D1,11545,8533,1092,0,0,56,0.0,0.08196721311475409,0.8484848484848485
5,Speech,7,3618,3053,The girl wondered why the dog was running and the boy was crying,"The girl wondered why the dog was running and the boy was crying
",64,208.95522388059703,0,0,Transcription,D2,9718,6665,0,0,0,64,0.0,0.0,1.0
5,Speech,8,2732,3023,The little boy was told that his friends were a gift,"The little boy was told that his friends were a gift
",52,224.01171303074668,0,0,Transcription,D2,6887,3864,0,0,0,52,0.0,0.0,1.0
