participantNo,inputType,trialNo,inputTime,prepTime,msg,correctMsg,msgLen,wpm,incorrect_fixed,fixes,triad,taskType,setNum,totalTime,entryTime,corrTime,acCount,gMsg,uncorrected_error_rate,corrected_error_rate,bandwidth
1,Keyboard,2,14507,2432,The three friends stayed home to drink coffee.,The three friends stayed home to drink coffee.,46,37.22340939,9,9,"house.png,Friends.png,mug.png",Composition,A,18117,15685,2150,0,The three friends stayed home to drink coffee.,0,0.163636364,0.71875
1,Keyboard,3,13118,2414,The boy asked Santa for a bicycle for Christmas.,The boy asked Santa for a bicycle for Christmas.,48,42.9943589,8,2,"bicycle.png,youngman.png,santa.png",Composition,A,17708,15294,1088,2,The boy asked Santa for a bicycle for Christmas.,0,0.16,0.827586207
1,Keyboard,4,9850,4076,The man took a picture of a baby using his phone.,The man took a picture of a baby using his phone.,49,58.47715736,2,2,"baby.png,iPhone4.png,man.png",Composition,A,14746,10670,406,0,The man took a picture of a baby using his phone.,0,0.039215686,0.924528302
1,Keyboard,5,29417,2010,Three people brought presents to the boy's party.,Three people brought presents to the boy's party.,49,19.58051467,23,5,"boy.png,Friends.png,present.png",Composition,A,32959,30949,6335,1,Three people brought presents to the boy's party.,0,0.425925926,0.636363636
1,Keyboard,6,18735,2407,The man loves playing soccer.,The man loves playing soccer.,29,17.93434748,1,1,"soccer.png,youngman.png,heart.png",Composition,A,24225,21818,1107,0,The man loves playing soccer.,0,0.033333333,0.935483871
1,Keyboard,7,12683,2026,The woman does not like broccoli on her hot dogs.,The woman does not like broccoli on her hot dogs.,49,45.41512261,0,0,"brocoli.png,hotdog.png,woman.png",Composition,A,17019,14993,0,1,The woman does not like broccoli on her hot dogs.,0,0,1
1,Keyboard,8,23452,4547,The woman sat next to a girl on the plane.,The woman sat next to a girl on the plane.,42,20.97902098,0,0,"woman.png,momandbaby.png,plane.png",Composition,A,32386,27839,0,0,The woman sat next to a girl on the plane.,0,0,1
1,Keyboard,9,24429,2366,"During the flight, the doctor rushed to help the boy.","During the flight, the doctor rushed to help the boy.",53,25.54341152,0,0,"doctor.png,plane.png,boy.png",Composition,A,28833,26467,0,0,"During the flight, the doctor rushed to help the boy.",0,0,1
1,Keyboard,10,23516,1846,The baby enjoyed playing in the sun at home.,The baby enjoyed playing in the sun at home.,44,21.94250723,11,11,"sun.png,house.png,baby.png",Composition,A,27034,25188,1845,0,The baby enjoyed playing in the sun at home.,0,0.2,0.666666667
1,Keyboard,11,24331,4006,The boy cried when he realized that his brother was dressed as Santa.,The boy cried when he realized that his brother was dressed as Santa.,69,33.5374625,37,24,"crying.png,youngman.png,santa.png",Composition,A,32241,28235,5468,2,The boy cried when he realized that his brother was dressed as Santa.,0,0.397849462,0.530769231
1,Keyboard,12,16916,1956,The doctor had many apples in his house.,The doctor had many apples in his house.,40,27.66611492,7,7,"apple.png,doctor.png,house.png",Composition,A,20589,18633,3653,0,The doctor had many apples in his house.,0,0.14893617,0.740740741
1,Keyboard,13,21483,2526,The old woman loved the stuffed bear that her grandkids got her.,The old woman loved the stuffed bear that her grandkids got her.,64,35.19061584,7,7,"grandma.png,heart.png,teddybear.png",Composition,A,26787,24261,865,0,The old woman loved the stuffed bear that her grandkids got her.,0,0.098591549,0.820512821
1,Keyboard,14,17202,4193,The boy decided not to fry a turtle for supper.,The boy decided not to fry a turtle for supper.,47,32.08929194,12,12,"turtle.png,cooking-pan.png,youngman.png",Composition,A,25989,21796,3910,1,The boy decided not to fry a turtle for supper.,0,0.203389831,0.661971831
1,Keyboard,15,15720,1120,The boy was sad because he could not play on the swing in the rain.,The boy was sad because he could not play on the swing in the rain.,67,50.38167939,0,0,"swings.png,crying.png,raincloud.png",Composition,A,18077,16957,0,0,The boy was sad because he could not play on the swing in the rain.,0,0,1
1,Keyboard,16,19991,4528,The friends decided to buy a stuffed animal.,The friends decided to buy a stuffed animal.,44,25.81161523,3,3,"teddybear.png,money.png,Friends.png",Composition,A,29543,25015,630,0,The friends decided to buy a stuffed animal.,0,0.063829787,0.88
1,Keyboard,17,20441,1282,The boy chased his cat all around the boat. ,The boy chased his cat all around the boat. ,44,25.2433834,7,5,"boy.png,boat.png,cat.png",Composition,A,23396,22114,2733,2,The boy chased his cat all around the boat. ,0,0.145833333,0.781818182
1,Keyboard,18,15428,1331,The man sat on the bench to stop and smell the flowers.,The man sat on the bench to stop and smell the flowers.,55,42.00155561,12,12,"flower.png,bench.png,man.png",Composition,A,18355,17024,2428,0,The man sat on the bench to stop and smell the flowers.,0,0.179104478,0.696202532
1,Keyboard,19,13971,4339,The girl practiced playing soccer at home. ,The girl practiced playing soccer at home. ,43,36.07472622,3,3,"cooking.png,house.png,soccer.png",Composition,A,22963,18624,1775,1,The girl practiced playing soccer at home. ,0,0.066666667,0.875
1,Keyboard,20,16079,2415,The boy was sad because his sister could not find his dog. ,The boy was sad because his sister could not find his dog. ,59,43.28627402,5,2,"crying.png,pup.png,confused.png",Composition,A,20799,18384,1302,2,The boy was sad because his sister could not find his dog. ,0,0.083333333,0.892307692
1,Speech,2,5353,70621,The boy cried because his brother was dressed as Santa Claus.,The boy cried because his brother was dressed as Santa Claus.,61,134.5040164,0,0,"crying.png,youngman.png,santa.png",Composition,B,146151,75530,0,0,The boy cried because his brother was dressed as Santa Claus.,0,0,1
1,Speech,3,5126,11451,The woman's stuffed bear had a heart on its shirt.,The woman's stuffed bear had a heart on its shirt.,50,114.709325,0,0,"grandma.png,heart.png,teddybear.png",Composition,B,27989,16538,0,0,The woman's stuffed bear had a heart on its shirt.,0,0,1
1,Speech,4,4704,10992,The man stopped to pick flowers by the bench.,The man stopped to pick flowers by the bench.,45,112.244898,0,0,"flower.png,bench.png,man.png",Composition,B,26284,15292,0,0,The man stopped to pick flowers by the bench.,0,0,1
1,Speech,5,5288,15165,The men's turtle crawled into the frying pan.,The man's turtle crawled into the frying pan.,45,99.84871407,0,0,"turtle.png,cooking-pan.png,youngman.png",Composition,B,35675,20510,0,0,The man's turtle crawled into the frying pan.,0.022222222,0,0.977777778
1,Speech,6,3445,8795,The girl left her soccer ball at home.,The girl left her soccer ball at home.,38,128.8824383,0,0,"cooking.png,house.png,soccer.png",Composition,B,20495,11700,0,0,The girl left her soccer ball at home.,0,0,1
1,Speech,7,8021,6253,The boy bought presents for all of his friends.,The boy bought presents for all of his friends.,47,68.81934921,13,3,"boy.png,Friends.png,present.png",Composition,B,20086,13833,3486,0,The boy bought presents for all his friends.,0.03,0.26,0.722222222
1,Speech,8,4814,6764,The boy carried his cat on to the sailboat.,The boy carried his cat on to the sailboat.,43,104.6946406,0,0,"boy.png,boat.png,cat.png",Composition,B,17947,11183,0,0,The boy carried his cat on to the sailboat.,0,0,1
1,Speech,9,10555,22776,The girl was confused why her brother was sad about the dog.,The girl was confused why her brother was sad about the dog.,60,67.07721459,0,0,"crying.png,pup.png,confused.png",Composition,B,55909,33133,0,0,The girl was confused why her brother was sad about the dog.,0,0,1
1,Speech,10,4332,7469,The boy rode his bike to visit Santa Claus.,The boy rode his bike to visit Santa Claus.,43,116.3434903,0,0,"bicycle.png,youngman.png,santa.png",Composition,B,20639,13170,0,0,The boy rode his bike to visit Santa Claus.,0,0,1
1,Speech,11,3798,6927,The baby crawled away with the man's phone.,The baby crawled away with the man's phone.,43,132.7014218,0,0,"baby.png,iPhone4.png,man.png",Composition,B,17313,10386,0,0,The baby crawled away with the man's phone.,0,0,1
1,Speech,12,11992,12781,"It was raining, so the boy could not play on the swing.","It was raining, so the boy could not play on the swing.",55,54.03602402,7,3,"swings.png,crying.png,raincloud.png",Composition,B,37289,24508,953,0,"It was raining, so the boy could not play on the swing.",0,0.120689655,0.846153846
1,Speech,13,11783,14875,The woman found money on the ground next to the swing set.,The woman found money on the ground next to the swing set.,58,58.04973267,1,1,"swings.png,money.png,momandbaby.png",Composition,B,36900,22025,1332,0,The woman found money on the ground next to the swing set.,0,0.016949153,0.966666667
1,Speech,14,4526,10879,The kids hid money inside of a stuffed bear.,The kids hid money inside of a stuffed bear.,44,114.007954,43,1,"teddybear.png,money.png,Friends.png",Composition,B,27420,16541,690,0,The kids hid money inside of a stuffed bear.,0,0.955555556,0.5
1,Speech,15,12816,7927,The kids brought their cups from home.,The kids brought their cups from home.,38,34.64419476,0,0,"house.png,Friends.png,mug.png",Composition,B,27653,19726,0,0,The kids brought their cups from home.,0,0,1
1,Speech,16,5598,14264,The baby's room was bright when the sun was up.,The baby's room was bright when the sun was up.,47,98.60664523,0,0,"sun.png,house.png,baby.png",Composition,B,33878,19614,0,0,The baby's room was bright when the sun was up.,0,0,1
1,Speech,17,5153,6893,The doctor said that the young boy could not fly.,The doctor said that the young boy could not fly.,49,111.7795459,0,0,"doctor.png,plane.png,boy.png",Composition,B,19278,12385,0,0,The doctor said that the young boy could not fly.,0,0,1
1,Speech,18,5723,28274,The girl flew home to meet her baby sister.,The girl flew home to meet her baby sister.,43,88.06569981,1,1,"woman.png,momandbaby.png,plane.png",Composition,B,62725,34451,789,0,The girl flew home to meet her baby sister.,0,0.022727273,0.955555556
1,Speech,19,4008,35228,The boy had a healthy heart from playing soccer.,The boy had a healthy heart from playing soccer.,48,140.7185629,0,0,"soccer.png,youngman.png,heart.png",Composition,B,73221,37993,0,0,The boy had a healthy heart from playing soccer.,0,0,1
1,Speech,20,6638,9847,The doctor planted an apple tree outside of his house.,The doctor planted an apple tree outside of his house.,54,95.81199156,0,0,"apple.png,doctor.png,house.png",Composition,B,25688,15841,0,0,The doctor planted an apple tree outside of his house.,0,0,1
2,Speech,2,3297,33504,The boy who plays soccer on Valentine's day. ,The boy plays soccer on Valentine's day. ,45,160.1455869,1,1,"soccer.png,youngman.png,heart.png",Composition,B,69886,36382,152,0,The boy who plays soccer on Valentine's day. ,0.044444444,0.022222222,0.913043478
2,Speech,3,21242,8468,The Boy sees Santa riding a bicycle. ,The boy sees Santa riding a bicycle. ,37,20.33706807,12,6,"bicycle.png,youngman.png,santa.png",Composition,B,37615,29147,13747,0,The boy sees Santa riding a bicycle. ,0.023809524,0.285714286,0.648148148
2,Speech,4,3454,11980,The parents buy a swing set. ,The parents buy a swing set. ,29,97.27851766,1,1,"swings.png,money.png,momandbaby.png",Composition,B,27294,15314,208,0,The parents buy a swing set. ,0,0.034482759,0.933333333
2,Speech,5,2939,12925,Boy takes his cat on the boat. ,The boy takes his cat on the boat. ,31,122.4906431,1,1,"boy.png,boat.png,cat.png",Composition,B,28642,15717,120,0,The boy takes his cat on the boat. ,0.142857143,0.028571429,0.805555556
2,Speech,6,30881,58418,The dad took his son to Santa but the sun was scared of Santa. ,The dad took his son to Santa but the son was scared of Santa. ,63,24.09248405,59,59,"crying.png,youngman.png,santa.png",Composition,B,147760,89342,15828,0,"The dad took his son to Santa, but his son was scared of Santa. ",0.024624035,0.485604932,0.329665439
2,Speech,7,3636,12783,Baby was crawling in the garden on a nice day. ,The baby was crawling in the garden on a nice day. ,47,151.8151815,1,1,"sun.png,house.png,baby.png",Composition,B,29161,16378,135,0,The baby was crawling in the garden on a nice day. ,0.098039216,0.019607843,0.865384615
2,Speech,8,6525,41899,The kids pack the doll in the present box. ,The kids pack the doll in the present box. ,43,77.24137931,1,1,"boy.png,Friends.png,present.png",Composition,B,90732,48833,113,0,The kids pack the doll in the present box. ,0,0.023255814,0.954545455
2,Speech,9,10601,15953,The guy has no choice but to fry his pet turtle for dinner. ,The guy has no choice but to fry his pet turtle for dinner. ,60,66.78615225,60,5,"turtle.png,cooking-pan.png,youngman.png",Composition,B,42971,27018,3842,0,The guy has no choice but to fry his pet turtle for dinner. ,0,0.9375,0.475806452
2,Speech,10,16719,14298,The kids buy the teddy bear,The kids buy the teddy bear.,27,18.66140319,33,33,"teddybear.png,money.png,Friends.png",Composition,B,45587,31289,11039,0,The kids buy the teddy bear,0.008196721,0.545491803,0.288778312
