Participant No,Input Type,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,Keyboard,35,20,25,40,40,30
1,Speech,45,20,25,30,60,70
2,Speech,35,10,5,75,25,40
2,Keyboard,20,20,5,80,30,25
3,Keyboard,55,55,55,70,40,75
3,Speech,55,55,55,50,30,30
4,Speech,75,20,15,70,25,20
4,Keyboard,30,15,15,80,15,15
5,Keyboard,25,10,70,10,60,5
5,Speech,45,25,65,75,30,10
6,Speech,30,15,10,35,40,30
6,Keyboard,30,15,30,15,35,15
7,Keyboard,50,30,60,20,45,10
7,Speech,45,10,35,10,30,20
8,Speech,75,10,80,55,75,55
8,Keyboard,35,75,70,60,50,35
9,Keyboard,25,70,20,75,40,30
9,Speech,30,25,30,60,60,25
10,Speech,70,45,35,80,55,65
10,Keyboard,60,75,55,75,65,45
11,Keyboard,40,20,50,25,45,35
11,Speech,45,35,55,60,65,80
12,Speech,25,5,5,5,15,5
12,Keyboard,20,25,5,5,20,5
13,Keyboard,15,35,35,5,10,10
13,Speech,90,15,80,25,95,90
14,Speech,80,20,65,65,75,60
14,Keyboard,50,70,45,40,45,45
15,Keyboard,70,60,65,25,50,30
15,Speech,35,25,20,35,20,10
16,Speech,65,25,55,75,55,60
16,Keyboard,65,60,40,70,55,50
17,Keyboard,50,70,45,40,45,45
17,Speech,80,20,65,65,75,60
18,Speech,20,10,20,15,15,20
18,Keyboard,25,25,20,15,25,25
19,Keyboard,65,10,15,50,25,10
19,Speech,85,15,5,35,80,65
20,Speech,30,10,15,25,40,10
20,Keyboard,25,25,25,20,75,30
21,Keyboard,75,75,55,10,80,70
21,Speech,45,25,55,10,65,35
22,Speech,55,5,35,30,30,5
22,Keyboard,35,25,35,30,60,5
23,Keyboard,70,65,10,5,55,20
23,Speech,85,20,25,10,35,5
24,Speech,65,5,25,85,35,10
24,Keyboard,75,5,75,90,75,40
25,Keyboard,35,55,30,20,10,10
25,Speech,15,10,20,10,10,15
26,Speech,35,10,15,80,55,15
26,Keyboard,70,50,65,80,75,65
27,Keyboard,55,35,25,10,55,40
27,Speech,50,50,50,20,65,65
28,Speech,65,15,25,70,70,75
28,Keyboard,65,30,30,65,70,50
29,Keyboard,50,65,65,5,80,30
29,Speech,35,15,15,45,30,5
30,Speech,50,45,50,20,60,40
30,Keyboard,90,90,80,50,90,55
31,Speech,55,5,25,15,90,5
31,Keyboard,90,5,5,15,75,5
